,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Caibarien,CU,76.32,overcast clouds,22.5206,-79.4669,La Nena
5,Camapua,BR,77.4,scattered clouds,-19.5314,-54.0439,Comercial Estrela
17,Georgetown,MY,78.24,light rain,5.4112,100.3354,Cititel Penang
19,Juruti,BR,81.61,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
22,Filingue,NE,86.49,scattered clouds,14.3521,3.3168,Chez Zarkilou Issa
25,Sinnamary,GF,79.0,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
28,Trairi,BR,79.18,scattered clouds,-3.2778,-39.2689,janelas do mar
30,Saint George,US,86.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
37,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
41,Hithadhoo,MV,80.01,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Bandarbeyla,SO,78.51,overcast clouds,9.4942,50.8122,JABIR HOTEL
59,Mana,GF,80.02,broken clouds,5.6592,-53.7767,LE SAMANA
62,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
63,Port-Gentil,GA,78.76,thunderstorm,-0.7193,8.7815,Fengshui Residence
65,Adiake,CI,76.32,light rain,5.2863,-3.304,HOTEL COEUR D'OR
68,Bubaque,GW,82.0,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
69,Keti Bandar,PK,78.67,scattered clouds,24.1447,67.4497,Haji laloo memon house
73,Jalingo,NG,76.42,broken clouds,8.8833,11.3667,Debright Motel
76,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
84,Atar,MR,88.14,few clouds,20.5169,-13.0499,Oumou Elghoura
85,Hambantota,LK,78.57,overcast clouds,6.1241,81.1185,Bungalow 63
100,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
111,Mecca,SA,79.84,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
115,Kavaratti,IN,81.14,scattered clouds,10.5669,72.642,Green leaf
116,Mumford,GH,77.63,light rain,5.2618,-0.759,Peace Guest House
118,Abu Zabad,SD,82.96,scattered clouds,12.35,29.25,حامد محمد نور
121,Macapa,BR,85.98,scattered clouds,0.0389,-51.0664,Atalanta Hotel
130,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
131,Douentza,ML,86.83,few clouds,14.9951,-2.9517,Ogomono Doumbo
143,Touros,BR,78.03,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
150,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
151,Conceicao Das Alagoas,BR,78.58,broken clouds,-19.9147,-48.3883,Bouganville Hotel
152,Axim,GH,77.14,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
160,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
167,Mabaruma,GY,76.14,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
169,Cockburn Town,TC,83.07,few clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Mineros,BO,80.29,broken clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
183,Ipu,BR,86.58,overcast clouds,-4.3222,-40.7108,Our hostel Corner
184,Nova Londrina,BR,76.6,clear sky,-22.7658,-52.985,HOTEL FELICE
185,Jiwani,PK,82.26,overcast clouds,25.05,61.7417,Hooth Market
208,Mogadishu,SO,76.98,clear sky,2.0371,45.3438,Hotel Juba
209,Mozarlandia,BR,89.08,few clouds,-14.7447,-50.5706,Hotel Santa Mônica
212,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
213,Isla Mujeres,MX,77.16,moderate rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
214,Maragogi,BR,75.18,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
218,Abu Dhabi,AE,82.42,clear sky,24.4667,54.3667,Beach Rotana
219,Safaga,EG,79.48,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
221,Pemba,MZ,75.34,clear sky,-12.974,40.5178,Guesthouse Samotina
222,Bol,TD,83.35,scattered clouds,13.4586,14.7147,Harrouni camp de passage
224,Sao Miguel Do Araguaia,BR,87.01,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
226,Hwange,ZW,78.75,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
235,Manaure,CO,84.92,scattered clouds,11.7751,-72.4445,Hotel Palaaima
236,Kapoeta,SS,80.56,broken clouds,4.7717,33.5903,Eastgate Hotel
237,Pontes E Lacerda,BR,78.73,broken clouds,-15.2261,-59.3353,Hotel Bressan
238,Porto Seguro,BR,75.72,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
241,Morondava,MG,76.59,clear sky,-20.2833,44.2833,La Case Bambou
247,Jacmel,HT,84.04,light rain,18.2342,-72.5347,Historic Hotel Florita
248,Bosaso,SO,79.75,clear sky,11.2842,49.1816,Red Sea Hotel
249,Santa Cruz De Tenerife,ES,75.45,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
253,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
254,Puerto Carreno,CO,78.78,few clouds,6.189,-67.4859,Casa Hotel Victoria
260,Harper,LR,76.39,light rain,4.375,-7.7169,Screensaver
267,Santa Cruz Cabralia,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
269,Umm Lajj,SA,81.55,clear sky,25.0213,37.2685,Moon light Furnished Units
274,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
276,Dingle,PH,78.66,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
277,Puerto Narino,CO,75.45,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
300,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
302,Arlit,NE,79.57,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
311,Bikaner,IN,76.59,clear sky,28.0167,73.3,The Laxmi Niwas Palace
313,Laguna,US,93.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
318,Sao Joao Da Barra,BR,75.29,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
322,Ondjiva,AO,77.25,overcast clouds,-17.0667,15.7333,COMBUESA
326,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
327,Carutapera,BR,79.63,overcast clouds,-1.195,-46.02,Lidera
330,Itaituba,BR,77.63,moderate rain,-4.2761,-55.9836,Hotel Campos
342,Omboue,GA,76.84,light rain,-1.5746,9.2618,Hotel Olako
354,Kulhudhuffushi,MV,80.89,light rain,6.6221,73.07,Haajy Guest House 1
364,Bilma,NE,76.55,clear sky,18.6853,12.9164,Expeditions Ténére voyages
365,Fuerte Olimpo,PY,80.24,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
367,Hobyo,SO,77.63,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
368,Sur,OM,80.8,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
369,Altamira,BR,77.58,overcast clouds,-3.2033,-52.2064,Requinte Hotel
374,Kusti,SD,81.1,scattered clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
380,Ciudad Bolivar,VE,86.72,overcast clouds,8.1222,-63.5497,Hotel Edi
386,Port Blair,IN,79.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
387,Bonthe,SL,76.62,light rain,7.5264,-12.505,Bonthe Holiday Village
389,Chabahar,IR,81.54,overcast clouds,25.2919,60.643,هتل گدروشیا
394,Eydhafushi,MV,80.85,overcast clouds,5.1033,73.0708,Soneva Fushi
396,Trinidad,BO,75.18,broken clouds,-14.8333,-64.9,Hotel Piesta
397,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
398,Itarema,BR,79.23,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
401,Santa Marta,CO,84.25,light rain,11.2408,-74.199,Hotel La Ballena Azul
404,Porteirinha,BR,81.43,few clouds,-15.7433,-43.0283,Portal Palace Hotel
405,Veraval,IN,78.01,clear sky,20.9,70.3667,Lords Inn Somnath
407,Sao Jose Da Coroa Grande,BR,75.18,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
424,Tabou,CI,76.26,light rain,4.423,-7.3528,hotêl doufoulougou
426,Pombas,CV,76.78,few clouds,17.1503,-25.0201,Paul Paradis
431,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
434,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
438,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
439,Kerewan,GM,80.24,clear sky,13.4898,-16.0888,ADWAC Residents
440,Eyl,SO,77.85,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
442,Obidos,BR,80.76,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
449,Maues,BR,76.64,overcast clouds,-3.3836,-57.7186,Hotel Miramar
451,Santa Rosa,PH,79.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
458,Mahibadhoo,MV,81.43,broken clouds,3.7833,72.9667,Omadhoo Inn
463,Malpe,IN,76.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
465,Takoradi,GH,76.98,light rain,4.8845,-1.7554,Raybow International Hotel
469,Dwarka,IN,79.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
474,Bama,NG,77.86,scattered clouds,11.5221,13.6856,UN Humanitarian Hub
480,Puerto Colombia,CO,77.09,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
481,Duque De Caxias,BR,75.09,broken clouds,-22.7856,-43.3117,Mont Blanc Apart Hotel
482,Sal Rei,CV,77.99,clear sky,16.1833,-22.9167,Marine Club Beach Resort
485,Deshnok,IN,76.14,clear sky,27.7986,73.3447,Royal Karni palace
489,Dosso,NE,83.07,overcast clouds,13.049,3.1937,Hotel Toubal
497,Am Timan,TD,78.55,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
508,Jati,PK,75.58,scattered clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
509,Pathanamthitta,IN,76.73,broken clouds,9.2667,76.7833,Rose Petals
517,Ibotirama,BR,84.85,scattered clouds,-12.1853,-43.2206,Serra do Rio Hotel
522,Niamey,NE,86.29,broken clouds,13.5137,2.1098,Soluxe Hotel Niamey
524,Bonito,BR,75.94,broken clouds,-21.1211,-56.4819,Marruá Hotel
525,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
530,Marsh Harbour,BS,76.84,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
536,Balotra,IN,77.2,few clouds,25.8333,72.2333,Hotel City Square
537,Chapada Dos Guimaraes,BR,76.66,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
539,Vieux Fort,LC,81.72,scattered clouds,13.7167,-60.95,Cedar Palm Villa
540,Canto Do Buriti,BR,87.75,broken clouds,-8.11,-42.9444,Novo Hotel
549,Biltine,TD,82.72,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
554,Tucurui,BR,82.44,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
556,Dapaong,TG,78.55,few clouds,10.8639,0.205,Hotel Caroli
562,Matara,LK,76.91,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
563,Moengo,SR,78.24,broken clouds,5.6167,-54.4,Masanga
574,Silao,MX,76.14,broken clouds,20.9333,-101.4333,"Holiday Inn Express Silao-Aeropuerto Bajio, an IHG Hotel"
585,Acarau,BR,79.48,scattered clouds,-2.8856,-40.12,castelo pizzaria
586,Presidente Epitacio,BR,77.79,clear sky,-21.7633,-52.1156,Hotel Itaverá
589,Omidiyeh,IR,80.06,broken clouds,30.7597,49.705,Royal Complex
608,Nisia Floresta,BR,77.81,few clouds,-6.0911,-35.2086,Rancho Crepusculo
613,Weligama,LK,77.45,heavy intensity rain,5.9667,80.4167,Weligama Bay Resort
617,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
626,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
640,Lucea,JM,75.85,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
646,Muscat,OM,78.82,broken clouds,23.6139,58.5922,Mutrah Hotel
650,Barra Dos Coqueiros,BR,78.82,scattered clouds,-10.9089,-37.0386,Quality Hotel Aracaju
658,Monte Alegre De Minas,BR,78.33,broken clouds,-18.8706,-48.8808,Hotel Via Hotel
661,Tougan,BF,82.54,scattered clouds,13.0667,-3.0667,Hôtel SMAK
667,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
670,Paragominas,BR,79.05,broken clouds,-2.9667,-47.4833,INOVA
680,Joao Pinheiro,BR,79.7,scattered clouds,-17.7425,-46.1725,Hotel Santos
686,Ayorou,NE,86.27,scattered clouds,14.7308,0.9174,Hotel Amenokal
687,Iracoubo,GF,79.93,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
689,Amalapuram,IN,75.25,scattered clouds,16.5833,82.0167,swayamprabha service apartments
